deal_id,company_name,deal_name,stage,deal_size,days_in_stage,response_latency_hrs,sentiment_trend,stakeholder_count,competitor_mentions,scope_change_flags,outcome
DEAL-0001,DataCore Inc,DataCore Inc - Digital Transformation Deal,Closed,427000.0,38,53.2,declining,4,5,4,stalled
DEAL-0002,Stratum Software,Stratum Software - Digital Transformation Deal,Closed,159000.0,132,43.5,declining,4,1,4,lost
DEAL-0003,Titan Technologies,Titan Technologies - Enterprise Platform Renewal & Expansion,Closed,1218000.0,43,50.4,stable,1,2,1,stalled
DEAL-0004,Optima Solutions,Optima Solutions - Digital Transformation Deal,Closed,582000.0,91,43.7,improving,6,5,3,lost
DEAL-0005,Radiant Systems,Radiant Systems - Digital Transformation Deal,Closed,454000.0,161,63.8,stable,11,4,1,lost
DEAL-0006,Aether Systems,Aether Systems - Enterprise Platform Renewal & Expansion,Closed,1164000.0,62,62.5,stable,2,2,3,lost
DEAL-0007,Quantum Dynamics,Quantum Dynamics - Digital Transformation Deal,Closed,546000.0,71,50.7,declining,11,5,0,lost
DEAL-0008,Forward Media,Forward Media - Enterprise Platform Renewal & Expansion,Closed,382000.0,100,19.8,declining,8,5,4,stalled
DEAL-0009,OmniSoft,OmniSoft - Enterprise Platform Renewal & Expansion,Closed,1168000.0,11,58.1,stable,4,2,0,stalled
DEAL-0010,OmniSoft,OmniSoft - Digital Transformation Deal,Closed,759000.0,120,10.7,improving,11,1,4,stalled
DEAL-0011,Stratum Software,Stratum Software - Enterprise Platform Renewal & Expansion,Closed,611000.0,38,36.9,improving,4,6,0,lost
DEAL-0012,Evolve Logic,Evolve Logic - Enterprise Platform Renewal & Expansion,Closed,1192000.0,155,5.0,stable,7,4,3,lost
DEAL-0013,Acme Corp,Acme Corp - Enterprise Platform Renewal & Expansion,Closed,190000.0,71,55.5,stable,9,0,2,stalled
DEAL-0014,Vanguard Cloud,Vanguard Cloud - Digital Transformation Deal,Closed,1089000.0,70,70.0,improving,12,4,0,lost
DEAL-0015,Nexus Enterprise,Nexus Enterprise - Enterprise Platform Renewal & Expansion,Closed,771000.0,42,27.2,improving,4,4,4,lost
DEAL-0016,OmniSoft,OmniSoft - Digital Transformation Deal,Closed,186000.0,81,17.6,improving,6,4,0,won
DEAL-0017,Velocity Networks,Velocity Networks - Enterprise Platform Renewal & Expansion,Closed,1467000.0,35,9.7,stable,9,4,1,stalled
DEAL-0018,Stratum Software,Stratum Software - Enterprise Platform Renewal & Expansion,Closed,1395000.0,179,14.9,stable,12,3,2,lost
DEAL-0019,ZeroDay Defense,ZeroDay Defense - Digital Transformation Deal,Closed,387000.0,89,2.0,declining,2,1,4,stalled
DEAL-0020,Beacon Dynamics,Beacon Dynamics - Enterprise Platform Renewal & Expansion,Closed,107000.0,11,62.0,improving,2,4,1,stalled
DEAL-0021,Velocity Networks,Velocity Networks - Digital Transformation Deal,Closed,216000.0,150,34.3,stable,10,6,3,stalled
DEAL-0022,CyberShield,CyberShield - Enterprise Platform Renewal & Expansion,Closed,544000.0,122,62.3,improving,7,5,0,stalled
DEAL-0023,Optima Solutions,Optima Solutions - Enterprise Platform Renewal & Expansion,Closed,182000.0,51,38.8,improving,4,3,1,won
DEAL-0024,IronClad Security,IronClad Security - Enterprise Platform Renewal & Expansion,Closed,132000.0,28,4.1,declining,9,6,0,lost
DEAL-0025,IronClad Security,IronClad Security - Digital Transformation Deal,Closed,739000.0,105,65.0,improving,4,3,0,lost
DEAL-0026,Krypton Labs,Krypton Labs - Enterprise Platform Renewal & Expansion,Closed,1182000.0,111,50.3,declining,5,6,4,lost
DEAL-0027,Velocity Networks,Velocity Networks - Digital Transformation Deal,Closed,459000.0,151,53.1,improving,1,5,2,stalled
DEAL-0028,Vertex Systems,Vertex Systems - Enterprise Platform Renewal & Expansion,Closed,1282000.0,17,69.2,improving,3,6,1,stalled
DEAL-0029,Beacon Dynamics,Beacon Dynamics - Enterprise Platform Renewal & Expansion,Closed,368000.0,148,18.1,declining,2,0,4,stalled
DEAL-0030,ZeroDay Defense,ZeroDay Defense - Digital Transformation Deal,Closed,406000.0,83,17.6,stable,11,1,2,won
DEAL-0031,Beacon Dynamics,Beacon Dynamics - Digital Transformation Deal,Closed,939000.0,28,5.7,improving,10,4,2,won
DEAL-0032,Pinnacle Networks,Pinnacle Networks - Enterprise Platform Renewal & Expansion,Closed,1321000.0,75,11.8,declining,6,5,2,lost
DEAL-0033,ZeroDay Defense,ZeroDay Defense - Digital Transformation Deal,Closed,1229000.0,172,7.9,improving,5,2,0,lost
DEAL-0034,Evolve Logic,Evolve Logic - Digital Transformation Deal,Closed,915000.0,90,15.1,declining,12,6,2,lost
DEAL-0035,Krypton Labs,Krypton Labs - Enterprise Platform Renewal & Expansion,Closed,1272000.0,165,30.8,stable,2,0,0,stalled
DEAL-0036,Delta Analytics,Delta Analytics - Enterprise Platform Renewal & Expansion,Closed,408000.0,116,39.9,stable,12,4,0,stalled
DEAL-0037,Evolve Logic,Evolve Logic - Enterprise Platform Renewal & Expansion,Closed,1255000.0,144,11.1,improving,10,0,2,won
DEAL-0038,Aether Systems,Aether Systems - Enterprise Platform Renewal & Expansion,Closed,331000.0,173,7.8,declining,4,6,3,lost
DEAL-0039,Evolve Logic,Evolve Logic - Enterprise Platform Renewal & Expansion,Closed,370000.0,48,63.5,improving,3,1,2,lost
DEAL-0040,Sentinels Security,Sentinels Security - Enterprise Platform Renewal & Expansion,Closed,1299000.0,71,11.9,declining,4,0,3,lost
DEAL-0041,Vertex Systems,Vertex Systems - Digital Transformation Deal,Closed,1229000.0,92,22.3,improving,8,1,0,stalled
DEAL-0042,ScaleGrid,ScaleGrid - Digital Transformation Deal,Closed,1299000.0,92,46.4,stable,5,5,4,stalled
DEAL-0043,Apex Global,Apex Global - Digital Transformation Deal,Closed,1456000.0,151,69.3,stable,3,0,0,lost
DEAL-0044,Pinnacle Networks,Pinnacle Networks - Enterprise Platform Renewal & Expansion,Closed,484000.0,133,8.8,declining,10,1,2,won
DEAL-0045,Stratum Software,Stratum Software - Digital Transformation Deal,Closed,1390000.0,178,51.9,declining,9,5,1,stalled
DEAL-0046,Beacon Dynamics,Beacon Dynamics - Enterprise Platform Renewal & Expansion,Closed,1383000.0,83,47.9,improving,10,5,2,stalled
DEAL-0047,Sentinels Security,Sentinels Security - Digital Transformation Deal,Closed,1052000.0,35,14.2,declining,9,3,1,stalled
DEAL-0048,Nexus Enterprise,Nexus Enterprise - Digital Transformation Deal,Closed,1254000.0,76,15.5,declining,5,4,2,lost
DEAL-0049,Titan Technologies,Titan Technologies - Enterprise Platform Renewal & Expansion,Closed,777000.0,46,47.6,stable,12,4,4,stalled
DEAL-0050,IronClad Security,IronClad Security - Enterprise Platform Renewal & Expansion,Closed,352000.0,40,2.2,improving,4,3,4,lost
DEAL-0051,Beacon Dynamics,Beacon Dynamics - Digital Transformation Deal,Closed,1331000.0,52,51.9,stable,10,3,3,stalled
DEAL-0052,Acme Corp,Acme Corp - Enterprise Platform Renewal & Expansion,Closed,1293000.0,111,16.1,declining,2,4,3,stalled
DEAL-0053,IronClad Security,IronClad Security - Enterprise Platform Renewal & Expansion,Closed,200000.0,121,48.2,declining,3,4,2,lost
DEAL-0054,Titan Technologies,Titan Technologies - Enterprise Platform Renewal & Expansion,Closed,1085000.0,112,59.9,declining,9,3,1,lost
DEAL-0055,Vertex Systems,Vertex Systems - Digital Transformation Deal,Closed,1133000.0,73,55.3,declining,11,3,1,stalled
DEAL-0056,Beacon Dynamics,Beacon Dynamics - Enterprise Platform Renewal & Expansion,Closed,367000.0,84,64.4,improving,6,1,1,stalled
DEAL-0057,Evolve Logic,Evolve Logic - Enterprise Platform Renewal & Expansion,Closed,115000.0,87,39.3,stable,7,0,1,lost
DEAL-0058,Radiant Systems,Radiant Systems - Enterprise Platform Renewal & Expansion,Closed,884000.0,8,61.8,declining,12,3,3,won
DEAL-0059,Pinnacle Networks,Pinnacle Networks - Digital Transformation Deal,Closed,597000.0,140,53.9,declining,7,6,4,lost
DEAL-0060,Velocity Networks,Velocity Networks - Digital Transformation Deal,Closed,665000.0,102,24.5,declining,1,6,3,lost
DEAL-0061,Vanguard Cloud,Vanguard Cloud - Enterprise Platform Renewal & Expansion,Closed,1471000.0,9,65.3,declining,9,4,0,stalled
DEAL-0062,Stratum Software,Stratum Software - Digital Transformation Deal,Closed,703000.0,69,27.6,improving,1,3,2,stalled
DEAL-0063,Radiant Systems,Radiant Systems - Digital Transformation Deal,Closed,1428000.0,67,60.2,stable,7,0,4,stalled
DEAL-0064,Pinnacle Networks,Pinnacle Networks - Digital Transformation Deal,Closed,122000.0,13,54.4,improving,11,1,0,stalled
DEAL-0065,IronClad Security,IronClad Security - Digital Transformation Deal,Closed,1011000.0,58,33.7,stable,10,6,2,won
DEAL-0066,DataCore Inc,DataCore Inc - Enterprise Platform Renewal & Expansion,Closed,262000.0,30,41.9,stable,5,4,3,stalled
DEAL-0067,Genesis Cloud,Genesis Cloud - Digital Transformation Deal,Closed,1042000.0,65,7.8,stable,11,6,4,lost
