deal_id,company_name,deal_name,stage,deal_size,days_in_stage,response_latency_hrs,sentiment_trend,stakeholder_count,competitor_mentions,scope_change_flags,outcome
DEAL-0551,Krypton Labs,Krypton Labs - Digital Transformation Deal,Closing,690000.0,3,52.4,stable,7,4,0,in_progress
DEAL-0552,Delta Analytics,Delta Analytics - Enterprise Platform Renewal & Expansion,Closing,467000.0,59,15.9,stable,5,0,2,in_progress
DEAL-0553,Zenith Enterprise,Zenith Enterprise - Enterprise Platform Renewal & Expansion,Proposal,1390000.0,27,3.2,stable,3,1,1,in_progress
DEAL-0554,Quantum Dynamics,Quantum Dynamics - Enterprise Platform Renewal & Expansion,Discovery,390000.0,79,7.1,stable,5,4,1,in_progress
DEAL-0555,OmniSoft,OmniSoft - Enterprise Platform Renewal & Expansion,Discovery,276000.0,150,59.1,improving,12,4,2,in_progress
DEAL-0556,Radiant Systems,Radiant Systems - Digital Transformation Deal,Qualification,103000.0,92,63.4,stable,6,3,0,in_progress
DEAL-0557,Acme Corp,Acme Corp - Enterprise Platform Renewal & Expansion,Qualification,956000.0,81,38.0,stable,1,4,4,in_progress
DEAL-0558,OmniSoft,OmniSoft - Enterprise Platform Renewal & Expansion,Closing,347000.0,175,52.8,stable,1,3,4,in_progress
DEAL-0559,Zenith Enterprise,Zenith Enterprise - Digital Transformation Deal,Discovery,659000.0,40,10.0,improving,7,3,4,in_progress
DEAL-0560,ScaleGrid,ScaleGrid - Digital Transformation Deal,Negotiation,610000.0,36,55.0,stable,7,4,1,in_progress
DEAL-0561,ScaleGrid,ScaleGrid - Enterprise Platform Renewal & Expansion,Proposal,310000.0,137,18.1,improving,10,2,3,in_progress
DEAL-0562,CloudScale,CloudScale - Digital Transformation Deal,Proposal,632000.0,92,14.1,stable,6,4,0,in_progress
DEAL-0563,Forward Media,Forward Media - Enterprise Platform Renewal & Expansion,Qualification,932000.0,162,10.9,improving,8,6,1,in_progress
DEAL-0564,Quantum Dynamics,Quantum Dynamics - Digital Transformation Deal,Proposal,1098000.0,31,53.4,improving,2,4,1,in_progress
DEAL-0565,Acme Corp,Acme Corp - Digital Transformation Deal,Qualification,1210000.0,118,34.2,stable,5,1,4,in_progress
DEAL-0566,Hyperion Systems,Hyperion Systems - Enterprise Platform Renewal & Expansion,Negotiation,1131000.0,126,45.0,improving,9,5,0,in_progress
DEAL-0567,ZeroDay Defense,ZeroDay Defense - Digital Transformation Deal,Negotiation,272000.0,54,56.9,declining,5,2,0,in_progress
DEAL-0568,Acme Corp,Acme Corp - Digital Transformation Deal,Negotiation,997000.0,171,26.3,improving,11,0,2,in_progress
DEAL-0569,InfiniTech,InfiniTech - Enterprise Platform Renewal & Expansion,Closing,773000.0,28,65.1,stable,12,6,4,in_progress
DEAL-0570,CloudScale,CloudScale - Digital Transformation Deal,Closing,761000.0,146,66.7,improving,8,0,1,in_progress
DEAL-0571,Nexus Enterprise,Nexus Enterprise - Digital Transformation Deal,Qualification,602000.0,7,25.3,stable,3,2,2,in_progress
DEAL-0572,Zenith Enterprise,Zenith Enterprise - Digital Transformation Deal,Qualification,112000.0,102,64.2,improving,5,4,2,in_progress
DEAL-0573,Evolve Logic,Evolve Logic - Digital Transformation Deal,Qualification,601000.0,25,52.7,declining,3,5,4,in_progress
DEAL-0574,Sentinels Security,Sentinels Security - Digital Transformation Deal,Qualification,246000.0,157,24.0,declining,5,1,1,in_progress
DEAL-0575,Aura Insights,Aura Insights - Enterprise Platform Renewal & Expansion,Qualification,319000.0,82,49.7,declining,3,1,3,in_progress
DEAL-0576,Forward Media,Forward Media - Digital Transformation Deal,Proposal,845000.0,33,13.7,improving,12,5,0,in_progress
DEAL-0577,Sentinels Security,Sentinels Security - Enterprise Platform Renewal & Expansion,Discovery,469000.0,166,67.2,stable,12,1,1,in_progress
DEAL-0578,Delta Analytics,Delta Analytics - Digital Transformation Deal,Closing,1148000.0,160,19.6,declining,10,4,1,in_progress
DEAL-0579,InfiniTech,InfiniTech - Digital Transformation Deal,Negotiation,59000.0,179,56.3,improving,2,4,4,in_progress
DEAL-0580,Quantum Dynamics,Quantum Dynamics - Digital Transformation Deal,Discovery,593000.0,38,12.2,improving,8,0,3,in_progress
DEAL-0581,Luminary Data,Luminary Data - Enterprise Platform Renewal & Expansion,Closing,349000.0,54,54.7,improving,11,1,3,in_progress
DEAL-0582,Velocity Networks,Velocity Networks - Enterprise Platform Renewal & Expansion,Proposal,1303000.0,112,29.4,improving,4,4,3,in_progress
DEAL-0583,ScaleGrid,ScaleGrid - Enterprise Platform Renewal & Expansion,Closing,1119000.0,140,38.1,declining,10,6,0,in_progress
DEAL-0584,CyberShield,CyberShield - Digital Transformation Deal,Closing,1244000.0,65,37.6,stable,1,5,0,in_progress
DEAL-0585,Radiant Systems,Radiant Systems - Enterprise Platform Renewal & Expansion,Negotiation,953000.0,51,21.3,stable,1,2,2,in_progress
DEAL-0586,Forward Media,Forward Media - Digital Transformation Deal,Discovery,927000.0,179,37.5,improving,1,3,3,in_progress
